soil_moisture,soil_ph,soil_ec,rgb_red,rgb_green,rgb_blue,temperature,humidity,leaf_wetness,scenario
50.78,5.88,0.43,92.22,71.81,46.83,28.26,72.56,5.77,nitrogen_deficient
15.17,6.45,3.03,110.39,62.87,48.78,33.89,48.32,10.59,water_stress
59.71,5.88,1.6,86.26,72.28,52.62,29.6,96.11,86.75,sigatoka_risk
53.99,5.86,0.55,116.59,54.23,33.49,23.88,62.61,14.26,nitrogen_deficient
15.74,6.93,3.85,106.03,74.85,52.49,28.62,53.37,8.7,water_stress
73.88,6.34,1.36,83.34,82.79,51.83,25.86,90.61,75.21,sigatoka_risk
22.44,6.12,3.58,96.74,76.6,43.0,37.94,41.92,14.4,water_stress
62.74,5.85,0.75,95.17,59.69,33.79,25.87,56.18,8.12,nitrogen_deficient
72.36,5.75,1.1,83.42,75.15,50.97,28.01,94.42,71.34,sigatoka_risk
56.68,6.31,1.82,75.05,105.01,56.6,25.5,72.87,7.42,healthy
56.65,6.11,1.79,69.92,118.82,45.58,29.25,71.0,16.05,healthy
63.86,6.5,1.38,84.6,99.58,60.64,30.29,95.16,83.34,sigatoka_risk
65.14,5.97,1.81,71.93,109.81,55.02,22.92,70.5,12.05,healthy
63.64,6.42,1.79,64.82,114.31,51.2,27.83,67.58,18.37,healthy
34.59,6.68,2.68,102.96,67.4,55.34,31.91,35.73,11.78,water_stress
56.08,5.25,0.42,94.76,64.26,41.49,29.53,68.12,13.11,nitrogen_deficient
63.49,5.78,1.97,67.8,111.05,47.11,27.79,66.95,29.94,healthy
67.88,6.31,1.44,80.16,99.98,61.34,25.43,86.72,63.97,sigatoka_risk
56.96,6.38,1.81,60.1,97.95,56.39,22.04,65.1,10.3,healthy
65.85,5.7,1.23,78.3,75.21,62.77,30.68,88.97,78.73,sigatoka_risk
60.82,5.7,1.49,90.99,86.72,57.4,28.26,92.01,63.47,sigatoka_risk
58.95,6.0,1.53,91.45,93.49,60.6,26.14,92.03,72.29,sigatoka_risk
31.87,6.38,3.88,108.07,63.96,45.47,29.07,39.08,1.33,water_stress
68.81,6.37,1.84,76.12,91.48,54.0,23.53,67.58,13.95,healthy
58.94,5.61,1.69,83.86,88.48,45.86,31.11,96.77,84.56,sigatoka_risk
66.97,5.93,1.52,74.76,112.4,58.93,23.91,63.28,18.48,healthy
56.36,5.44,0.72,95.84,53.77,47.9,30.98,64.71,7.57,nitrogen_deficient
73.3,6.42,1.68,84.75,93.02,52.36,27.56,85.93,87.06,sigatoka_risk
55.83,5.78,1.13,81.45,71.86,51.99,28.3,89.9,84.75,sigatoka_risk
58.27,5.73,0.51,113.23,53.49,33.91,26.14,65.95,23.99,nitrogen_deficient
47.96,5.88,0.46,96.4,52.22,45.84,26.46,59.09,8.98,nitrogen_deficient
69.47,5.64,1.29,72.74,79.1,60.92,26.71,97.2,87.62,sigatoka_risk
57.39,6.35,1.27,63.26,109.36,55.31,29.82,70.86,6.86,healthy
55.79,5.97,1.32,96.17,80.31,51.05,29.98,97.97,84.76,sigatoka_risk
49.17,5.63,0.66,101.36,68.87,41.49,25.63,66.65,4.12,nitrogen_deficient
64.13,6.04,1.44,82.98,91.88,51.59,26.89,86.6,84.63,sigatoka_risk
67.85,5.8,1.59,64.85,110.72,50.29,24.41,71.48,6.31,healthy
46.98,5.98,0.55,110.12,60.56,33.66,29.9,61.24,13.42,nitrogen_deficient
55.35,6.25,1.82,73.02,100.45,41.15,27.48,71.81,12.81,healthy
50.21,5.44,0.45,109.81,58.6,43.19,27.62,61.93,17.07,nitrogen_deficient
65.84,5.8,1.41,74.64,98.47,57.06,31.72,89.43,90.99,sigatoka_risk
19.12,6.27,2.93,91.23,61.76,41.4,28.19,41.12,8.49,water_stress
70.23,6.06,1.65,89.39,74.74,62.44,26.0,92.89,69.98,sigatoka_risk
24.86,6.79,2.74,90.24,75.71,45.16,37.48,36.22,14.42,water_stress
56.38,5.26,0.8,94.03,55.73,43.63,23.67,65.21,3.19,nitrogen_deficient
53.31,5.76,0.44,105.02,68.67,45.7,25.6,60.61,14.91,nitrogen_deficient
47.62,5.05,0.6,119.05,59.55,49.68,28.87,60.93,11.09,nitrogen_deficient
71.93,5.69,1.62,80.92,78.54,49.2,29.45,86.13,70.17,sigatoka_risk
60.84,6.25,1.45,71.39,104.29,50.44,22.68,64.0,12.63,healthy
33.37,6.96,2.78,100.95,62.61,39.99,31.84,43.69,4.93,water_stress
56.43,5.75,0.57,97.13,58.14,43.09,31.58,60.51,10.85,nitrogen_deficient
23.86,6.24,3.04,97.49,62.95,51.71,29.42,41.24,7.84,water_stress
68.11,5.73,1.53,69.68,117.45,52.86,22.57,73.06,26.4,healthy
67.08,5.65,1.91,68.12,108.92,48.28,23.26,72.49,6.89,healthy
26.82,6.44,4.03,92.1,78.75,36.42,36.84,48.1,7.13,water_stress
65.21,6.1,1.08,76.6,78.03,54.83,27.83,92.79,63.27,sigatoka_risk
56.81,5.7,0.73,111.54,73.6,32.82,25.66,57.47,7.96,nitrogen_deficient
33.64,6.27,2.66,96.53,85.16,43.45,34.81,41.24,13.54,water_stress
46.6,5.17,0.5,93.55,64.81,44.47,31.77,70.13,12.73,nitrogen_deficient
59.5,5.94,1.18,71.94,83.45,59.02,30.64,87.37,66.63,sigatoka_risk
64.2,6.27,1.13,78.43,97.1,62.21,31.16,85.53,78.34,sigatoka_risk
59.66,5.88,1.61,75.23,77.95,46.79,31.24,85.26,69.89,sigatoka_risk
22.33,6.88,3.43,99.77,61.31,37.04,36.84,54.4,0.67,water_stress
65.76,6.41,1.6,76.82,89.81,47.62,24.63,60.51,14.21,healthy
16.14,7.03,3.53,93.68,62.65,36.36,31.82,36.89,12.91,water_stress
65.39,6.35,1.61,92.79,78.99,59.81,30.73,89.19,66.4,sigatoka_risk
31.69,6.64,3.75,89.72,76.52,49.29,34.73,40.52,3.34,water_stress
17.58,6.26,2.76,88.22,76.25,49.42,32.64,36.26,12.38,water_stress
33.31,6.62,2.63,86.75,74.88,38.66,36.18,38.1,12.18,water_stress
50.53,5.7,1.51,73.14,107.51,48.11,27.0,67.87,7.02,healthy
47.0,5.56,0.75,92.95,65.68,48.17,27.47,74.44,1.69,nitrogen_deficient
55.21,5.54,1.48,61.25,103.79,58.79,23.95,66.41,14.0,healthy
28.12,6.24,3.52,90.34,67.95,49.78,32.12,43.56,11.32,water_stress
69.59,5.57,1.37,76.61,79.23,58.37,26.1,91.55,74.92,sigatoka_risk
48.07,5.31,0.64,92.78,68.7,32.78,25.54,71.59,7.92,nitrogen_deficient
15.77,7.0,3.0,90.04,81.8,45.39,30.04,37.63,6.44,water_stress
53.07,5.6,0.48,117.15,59.03,47.68,23.28,63.51,23.34,nitrogen_deficient
71.8,5.52,1.41,81.93,75.49,47.84,30.81,89.59,62.48,sigatoka_risk
57.13,6.04,0.42,92.46,55.76,34.73,27.22,58.98,18.15,nitrogen_deficient
61.97,5.87,1.61,62.39,118.57,47.57,24.3,72.83,21.56,healthy
57.19,6.24,1.65,87.04,78.07,53.17,30.66,91.12,73.4,sigatoka_risk
61.16,6.47,1.7,70.3,90.84,51.27,29.83,98.31,81.13,sigatoka_risk
48.71,5.27,0.61,95.96,70.44,40.62,24.17,65.66,6.53,nitrogen_deficient
28.98,6.13,3.81,89.39,65.97,40.7,31.71,36.5,3.51,water_stress
20.07,6.61,3.24,110.45,79.54,42.55,28.01,38.86,1.81,water_stress
68.21,6.16,1.43,78.5,89.57,63.44,31.15,93.21,62.48,sigatoka_risk
27.94,6.18,2.88,109.32,79.47,54.6,28.25,55.08,11.68,water_stress
61.59,5.38,0.66,100.11,58.3,31.85,29.92,56.31,6.96,nitrogen_deficient
35.1,6.18,2.78,88.68,74.98,44.48,30.19,45.16,12.69,water_stress
66.52,5.7,1.76,92.36,84.23,55.36,28.22,91.25,89.87,sigatoka_risk
61.0,6.3,1.84,77.69,96.47,49.94,23.11,61.64,7.82,healthy
64.41,6.0,1.24,75.3,115.98,47.92,22.65,75.48,4.81,healthy
67.17,5.67,1.35,65.07,91.07,41.09,30.29,67.52,4.4,healthy
68.47,6.42,1.35,69.37,89.71,49.81,22.4,71.42,6.99,healthy
64.14,5.71,1.58,65.07,120.84,51.13,24.6,63.58,19.67,healthy
58.41,6.2,1.67,71.93,98.91,40.69,27.1,66.29,8.63,healthy
61.44,6.11,1.76,61.09,89.47,49.2,26.36,65.51,10.28,healthy
68.94,5.63,1.35,89.08,73.91,46.37,30.48,86.55,91.08,sigatoka_risk
63.53,5.41,0.63,89.57,64.03,44.02,27.05,74.25,23.1,nitrogen_deficient
29.06,6.78,2.74,106.95,65.08,40.9,30.53,48.8,13.64,water_stress
19.39,6.03,2.72,86.74,59.98,48.13,36.94,35.31,2.75,water_stress
24.89,6.26,4.01,99.9,63.66,46.97,30.63,45.5,4.66,water_stress
51.44,5.64,1.92,73.48,95.94,40.63,29.74,65.65,19.81,healthy
25.82,6.22,3.9,89.96,75.13,54.14,34.01,40.5,10.99,water_stress
57.43,5.84,0.5,119.07,71.42,33.41,28.17,59.47,22.93,nitrogen_deficient
59.53,5.76,1.49,85.98,98.4,59.2,28.16,96.91,78.33,sigatoka_risk
55.71,5.7,1.84,73.96,110.75,45.73,25.93,70.08,17.0,healthy
27.15,6.33,2.75,107.02,67.55,53.85,30.85,47.91,4.05,water_stress
57.15,5.73,0.41,110.46,58.89,45.98,24.61,72.46,18.69,nitrogen_deficient
25.7,6.81,2.98,84.48,80.03,51.14,34.86,39.63,4.51,water_stress
45.52,5.78,0.65,107.88,63.04,47.46,32.03,62.47,24.48,nitrogen_deficient
58.42,5.36,0.73,93.22,67.14,33.67,26.23,57.69,20.72,nitrogen_deficient
68.86,6.59,1.4,94.29,99.62,60.79,27.85,86.0,69.62,sigatoka_risk
67.63,5.99,1.68,78.87,101.94,57.01,22.85,64.25,2.83,healthy
34.47,6.46,2.58,104.09,82.35,50.32,31.51,39.14,2.25,water_stress
74.97,6.35,1.07,79.98,91.99,61.52,30.78,87.51,70.19,sigatoka_risk
18.99,6.35,3.07,95.81,66.18,48.55,29.48,47.0,0.12,water_stress
64.21,5.64,1.48,71.23,97.53,56.06,29.38,94.55,93.58,sigatoka_risk
73.3,6.11,1.13,71.79,95.93,54.51,31.01,84.68,88.55,sigatoka_risk
27.26,6.77,3.5,107.64,83.1,41.27,28.95,50.24,7.33,water_stress
71.78,6.24,1.63,92.05,93.17,45.9,28.01,87.01,70.02,sigatoka_risk
46.16,5.93,0.49,116.22,53.79,31.24,26.55,59.34,17.92,nitrogen_deficient
59.54,6.47,1.61,77.48,95.7,48.62,27.93,97.28,71.97,sigatoka_risk
57.24,5.61,0.77,94.2,69.83,35.81,30.0,60.66,22.3,nitrogen_deficient
50.47,5.3,0.47,98.0,54.84,46.92,26.16,64.82,10.61,nitrogen_deficient
49.8,5.02,0.7,115.94,75.44,50.12,28.44,74.71,9.53,nitrogen_deficient
57.92,5.16,0.4,104.27,58.18,48.52,30.67,65.57,3.76,nitrogen_deficient
56.52,5.94,1.9,65.69,99.92,50.41,22.81,68.52,13.04,healthy
29.82,6.51,2.95,88.97,79.64,35.01,36.34,46.94,8.39,water_stress
60.68,5.51,0.66,91.91,69.08,45.47,31.55,56.41,0.95,nitrogen_deficient
60.99,5.42,0.42,100.73,52.66,30.68,30.3,54.71,7.55,nitrogen_deficient
63.46,5.76,0.72,113.69,66.27,37.21,26.09,57.27,5.11,nitrogen_deficient
58.0,5.15,0.71,98.99,56.87,48.64,26.24,66.44,22.08,nitrogen_deficient
19.68,6.16,3.45,98.41,64.61,52.37,36.3,38.27,13.86,water_stress
63.65,6.43,1.09,80.1,79.04,55.92,31.61,95.19,63.65,sigatoka_risk
53.5,6.03,0.48,105.64,66.36,33.19,22.97,69.56,20.72,nitrogen_deficient
65.07,6.39,1.4,86.33,80.34,58.82,28.86,88.63,92.2,sigatoka_risk
60.56,5.9,0.63,96.01,54.9,45.44,25.24,62.43,7.78,nitrogen_deficient
74.6,6.14,1.21,89.93,85.81,63.23,29.99,98.91,90.16,sigatoka_risk
25.53,6.16,3.57,86.11,83.08,53.84,35.28,52.26,11.27,water_stress
67.18,5.59,1.8,74.93,103.91,47.04,22.22,66.67,17.77,healthy
48.26,5.26,0.74,99.38,71.39,33.94,28.42,60.08,13.84,nitrogen_deficient
55.95,5.38,0.51,112.51,64.28,36.83,31.6,73.93,9.58,nitrogen_deficient
19.42,5.99,3.42,103.24,74.62,51.09,29.64,47.77,8.83,water_stress
69.22,5.77,1.21,80.0,82.79,46.84,28.47,93.3,59.49,sigatoka_risk
31.89,6.66,3.68,98.85,77.64,48.34,34.94,39.46,1.65,water_stress
14.94,6.35,2.73,106.81,62.74,38.55,28.39,39.33,6.37,water_stress
69.14,6.14,1.13,78.18,96.18,47.85,28.45,86.08,68.32,sigatoka_risk
49.91,5.93,1.79,75.55,98.6,46.33,25.19,71.36,10.38,healthy
66.72,5.79,1.94,79.2,90.15,46.52,27.65,66.45,16.04,healthy
52.1,5.65,0.56,93.15,63.78,48.36,25.48,56.1,20.6,nitrogen_deficient
55.58,5.99,0.62,98.28,62.36,39.27,23.39,57.68,17.8,nitrogen_deficient
51.19,6.03,1.37,59.53,111.09,54.89,24.42,60.33,6.93,healthy
58.87,6.06,1.31,76.11,93.69,45.65,26.84,90.22,93.22,sigatoka_risk
60.22,5.83,2.01,62.88,96.05,46.84,24.06,65.65,16.81,healthy
53.88,6.16,1.52,61.15,116.22,46.06,26.51,63.94,0.09,healthy
70.22,6.07,1.62,89.84,83.13,58.19,29.41,93.51,87.52,sigatoka_risk
58.06,6.12,1.03,95.55,89.64,57.18,32.29,86.57,68.42,sigatoka_risk
63.65,6.03,1.21,90.04,73.4,63.65,29.62,91.74,66.46,sigatoka_risk
24.72,6.74,3.71,90.98,72.96,52.62,33.45,39.24,1.36,water_stress
74.18,6.14,1.76,80.89,85.35,46.87,29.87,85.94,72.14,sigatoka_risk
54.78,6.34,1.72,61.9,98.27,55.45,25.87,74.34,8.68,healthy
17.71,6.53,3.63,106.48,77.98,41.18,32.77,46.07,13.4,water_stress
47.04,6.08,0.41,103.0,71.61,38.51,28.79,57.47,6.29,nitrogen_deficient
28.57,6.06,2.7,99.24,72.62,52.17,36.07,49.54,13.31,water_stress
60.89,6.16,1.83,79.1,100.62,59.42,28.08,67.99,28.36,healthy
64.66,6.36,1.85,78.53,116.48,58.18,28.47,74.4,0.16,healthy
26.51,6.44,3.26,102.58,81.71,41.53,29.81,50.34,1.39,water_stress
27.91,6.85,2.65,86.01,61.55,45.29,35.49,41.22,10.39,water_stress
63.03,5.97,1.34,93.42,83.53,47.19,26.99,87.03,94.23,sigatoka_risk
61.49,5.51,0.48,113.5,55.45,40.18,22.93,68.89,4.04,nitrogen_deficient
69.73,5.77,1.4,88.81,85.26,59.69,31.93,97.66,66.9,sigatoka_risk
70.13,6.07,1.73,73.08,109.63,58.94,23.76,64.64,23.28,healthy
17.65,6.99,2.58,93.69,70.48,48.27,31.62,34.57,0.83,water_stress
60.88,6.24,1.15,72.61,71.68,54.02,25.93,90.48,64.67,sigatoka_risk
56.67,6.08,0.68,103.66,68.08,38.0,22.59,73.35,14.03,nitrogen_deficient
64.43,5.69,1.55,78.15,93.06,54.5,30.09,93.89,87.5,sigatoka_risk
23.04,6.22,3.6,89.25,69.63,38.27,29.46,41.49,4.55,water_stress
63.49,5.58,1.48,75.13,90.81,45.73,26.1,62.48,25.95,healthy
29.24,6.52,3.39,111.34,78.33,46.61,34.66,53.0,11.31,water_stress
64.18,6.2,1.32,67.05,114.31,41.34,26.3,64.05,23.77,healthy
61.06,5.81,1.53,83.87,90.3,46.23,28.97,95.57,82.55,sigatoka_risk
57.57,5.79,0.77,103.94,72.1,50.48,31.1,63.33,3.96,nitrogen_deficient
27.32,6.26,3.54,94.07,82.71,46.59,28.77,43.21,6.85,water_stress
68.46,5.61,1.58,93.0,86.47,52.74,31.33,88.71,69.44,sigatoka_risk
47.65,5.1,0.76,121.53,64.61,30.59,25.77,71.6,10.27,nitrogen_deficient
16.61,6.66,2.81,97.07,59.02,36.96,32.04,43.85,12.46,water_stress
50.44,5.38,0.52,105.77,68.06,34.9,24.08,71.43,8.19,nitrogen_deficient
66.66,5.52,1.58,82.87,70.61,45.04,25.11,88.43,91.59,sigatoka_risk
70.04,5.58,1.91,62.29,115.89,57.46,22.14,59.73,12.88,healthy
61.87,6.18,1.8,77.0,103.1,51.39,29.57,60.16,19.77,healthy
58.58,6.31,1.85,67.02,98.38,43.26,28.39,72.74,24.81,healthy
25.15,6.53,2.69,95.17,77.2,54.58,35.42,37.14,5.75,water_stress
50.65,6.11,1.95,59.73,103.49,40.69,22.63,59.71,6.79,healthy
49.46,5.56,0.45,98.74,68.34,39.9,22.13,71.36,22.62,nitrogen_deficient
52.9,6.06,1.34,78.66,104.69,58.82,26.26,75.96,5.86,healthy
53.63,5.97,1.28,73.94,112.9,42.93,23.53,68.25,22.46,healthy
62.44,5.68,1.06,77.16,82.34,51.73,31.52,89.46,84.36,sigatoka_risk
24.34,6.6,3.65,95.31,83.02,39.92,28.17,49.8,6.24,water_stress
59.89,5.56,0.64,103.72,52.4,47.01,27.76,65.55,10.52,nitrogen_deficient
63.99,6.29,1.67,74.88,92.18,56.67,27.35,69.94,29.46,healthy
55.68,5.02,0.55,117.76,60.25,42.36,26.69,76.27,22.5,nitrogen_deficient
57.19,6.04,1.82,71.2,108.67,41.03,24.49,69.43,0.6,healthy
58.06,6.32,1.34,77.54,95.04,48.44,30.17,66.35,28.24,healthy
57.88,5.48,0.76,103.16,57.23,40.01,31.3,73.29,1.68,nitrogen_deficient
58.28,6.44,1.53,68.9,104.38,54.68,28.53,69.66,1.75,healthy
22.34,6.2,2.69,95.35,66.5,50.18,34.13,45.75,8.42,water_stress
25.45,6.3,3.13,91.22,66.43,39.15,33.76,40.38,5.87,water_stress
24.12,6.89,3.97,102.68,78.5,44.68,34.08,46.56,9.79,water_stress
58.06,5.28,0.55,111.93,72.92,46.18,28.53,66.04,0.52,nitrogen_deficient
58.06,5.61,0.62,93.86,59.85,48.68,27.67,71.61,3.4,nitrogen_deficient
55.35,6.22,1.19,92.04,80.2,50.24,28.19,90.71,87.45,sigatoka_risk
29.65,6.58,2.63,106.38,81.68,35.14,29.93,40.77,0.26,water_stress
15.76,6.17,3.95,109.06,62.72,48.01,35.49,40.72,13.58,water_stress
63.94,6.32,1.25,78.39,106.04,55.63,28.68,74.26,25.27,healthy
66.16,6.57,1.67,76.88,72.37,63.2,29.16,84.98,83.51,sigatoka_risk
52.7,5.56,0.65,110.52,63.7,41.91,25.34,69.66,2.75,nitrogen_deficient
61.54,5.77,1.37,78.01,116.49,45.69,29.22,66.31,26.42,healthy
56.91,5.32,0.63,103.07,66.35,50.16,27.71,71.68,22.19,nitrogen_deficient
47.31,5.24,0.45,98.15,56.33,32.64,27.75,57.91,11.93,nitrogen_deficient
19.96,6.23,3.89,107.05,82.01,46.59,28.34,49.05,1.01,water_stress
17.82,6.8,2.97,107.47,62.77,54.39,28.9,39.79,4.68,water_stress
64.37,5.4,0.47,89.37,55.85,38.49,29.95,58.18,6.86,nitrogen_deficient
64.81,5.98,1.24,84.36,97.54,57.21,25.22,95.37,81.21,sigatoka_risk
59.7,5.86,0.57,111.4,60.32,47.66,26.6,57.82,3.41,nitrogen_deficient
47.4,5.8,0.69,120.55,54.65,37.52,29.89,71.63,14.66,nitrogen_deficient
55.44,6.41,1.53,64.56,110.51,44.76,29.95,62.98,2.35,healthy
33.19,6.47,2.73,96.04,73.59,38.4,37.52,44.35,5.42,water_stress
50.54,5.32,0.54,95.7,63.83,35.41,29.68,68.15,1.08,nitrogen_deficient
76.18,6.21,1.25,89.42,94.71,57.29,28.56,93.84,73.34,sigatoka_risk
55.94,6.08,1.24,62.11,89.93,54.33,26.98,72.76,4.94,healthy
67.1,6.24,1.45,63.96,111.95,41.43,29.22,73.65,26.69,healthy
72.45,6.43,1.26,72.5,80.62,59.62,30.83,94.8,64.22,sigatoka_risk
54.26,5.88,1.84,63.86,97.17,42.64,24.97,71.26,17.87,healthy
25.68,6.68,3.65,105.62,69.93,51.42,32.14,46.77,10.65,water_stress
73.12,6.24,1.57,90.21,71.68,47.72,25.65,93.49,82.99,sigatoka_risk
22.01,6.64,3.7,92.1,64.36,39.32,29.5,50.99,12.73,water_stress
68.52,6.13,1.33,62.66,92.84,51.6,23.51,67.56,16.19,healthy
57.75,5.11,0.4,113.52,52.01,30.69,28.32,60.94,23.92,nitrogen_deficient
54.41,6.23,1.46,72.21,96.76,56.65,28.1,70.99,4.61,healthy
56.89,6.45,1.03,69.72,73.11,64.03,25.64,95.48,62.04,sigatoka_risk
56.37,5.39,0.79,107.1,60.91,41.21,29.26,58.98,2.48,nitrogen_deficient
57.34,5.32,0.64,118.23,59.16,42.89,30.07,62.6,2.29,nitrogen_deficient
66.87,6.27,1.71,60.86,111.74,45.17,27.15,62.09,13.57,healthy
22.54,6.67,3.57,107.22,75.71,50.31,34.1,35.95,12.54,water_stress
21.93,6.75,3.76,89.95,71.52,41.8,32.11,36.36,2.29,water_stress
34.18,6.75,2.73,106.1,76.65,51.86,35.97,46.01,7.01,water_stress
58.22,5.66,1.1,72.48,93.74,47.72,27.53,92.33,83.55,sigatoka_risk
65.29,5.29,0.74,101.63,50.33,31.43,24.04,62.05,20.19,nitrogen_deficient
54.3,5.95,0.42,120.06,62.46,33.37,22.55,58.11,14.39,nitrogen_deficient
60.35,5.56,0.66,117.92,73.27,32.83,28.37,64.4,2.5,nitrogen_deficient
34.66,6.38,2.62,109.35,63.9,48.85,33.11,51.41,5.15,water_stress
53.81,5.99,0.65,115.89,69.93,32.76,25.78,60.0,1.14,nitrogen_deficient
64.92,5.72,1.53,68.37,114.27,41.62,24.71,60.97,29.93,healthy
54.88,6.35,1.53,70.67,115.6,40.2,26.85,69.8,28.14,healthy
71.97,6.12,1.55,81.05,71.97,57.18,25.64,88.11,92.1,sigatoka_risk
52.59,5.26,0.42,101.64,70.07,36.09,32.59,61.36,21.34,nitrogen_deficient
56.84,5.32,0.67,113.26,62.76,41.21,24.85,68.87,2.89,nitrogen_deficient
45.98,5.39,0.58,94.87,58.86,39.83,25.49,69.78,12.43,nitrogen_deficient
31.15,6.6,3.33,104.56,73.39,41.21,31.68,39.83,15.08,water_stress
22.34,6.27,3.05,101.05,62.77,40.22,36.01,46.43,4.34,water_stress
55.23,5.44,0.7,92.73,51.81,49.78,25.03,55.47,2.53,nitrogen_deficient
64.06,5.82,1.28,74.79,96.15,61.98,26.21,94.26,79.14,sigatoka_risk
30.04,6.35,2.88,107.43,83.31,45.17,33.13,40.86,9.39,water_stress
61.61,5.97,1.7,73.53,76.08,64.17,26.87,89.33,89.57,sigatoka_risk
65.6,5.94,1.29,72.3,97.36,64.41,30.42,93.48,70.52,sigatoka_risk
62.86,5.63,1.03,81.65,94.77,54.99,30.96,90.52,83.9,sigatoka_risk
57.72,5.97,1.25,92.44,72.54,49.67,29.23,85.29,92.95,sigatoka_risk
57.51,5.83,1.33,91.55,91.46,50.21,26.65,88.29,62.8,sigatoka_risk
51.78,5.57,0.42,99.01,64.51,39.9,24.63,63.19,18.73,nitrogen_deficient
57.64,5.97,0.59,109.84,65.82,31.89,25.1,61.28,7.1,nitrogen_deficient
60.56,6.46,1.49,75.45,99.45,49.93,28.45,73.0,0.23,healthy
57.38,5.75,0.69,108.93,49.66,45.33,28.61,57.96,17.03,nitrogen_deficient
61.41,6.48,1.09,71.78,83.44,62.76,31.8,96.05,63.1,sigatoka_risk
53.17,5.86,1.24,79.43,115.91,40.35,25.61,68.94,12.01,healthy
55.48,6.21,1.41,73.49,120.77,48.79,27.44,62.41,23.8,healthy
62.19,5.65,1.76,73.15,111.52,49.15,25.07,71.16,20.46,healthy
